implementation,scope,timestamp_ms,requests,throughput_rps,average_us,p50_us,p95_us,p99_us,p999_us,max_us
rust,second-0,1788410063864,60000,60000.00,101,112,150,169,207,265
rust,second-1,1788410064864,60000,60000.00,101,112,149,169,211,267
rust,second-2,1788410065864,60000,60000.00,101,112,150,170,211,271
rust,second-3,1788410066864,60000,60000.00,101,112,150,171,211,266
rust,second-4,1788410067864,60000,60000.00,101,112,149,169,209,282
rust,second-5,1788410068864,60000,60000.00,101,112,149,169,210,257
rust,second-6,1788410069864,60000,60000.00,101,112,149,169,208,293
rust,second-7,1788410070864,60000,60000.00,101,112,150,172,213,280
rust,second-8,1788410071864,60000,60000.00,101,112,149,169,211,287
rust,second-9,1788410072864,60000,60000.00,100,111,149,172,213,270
rust,second-10,1788410073864,60000,60000.00,101,112,149,170,214,260
rust,second-11,1788410074864,60000,60000.00,101,112,150,176,220,298
rust,second-12,1788410075864,60000,60000.00,101,112,149,170,209,287
rust,second-13,1788410076864,60000,60000.00,101,112,150,171,214,296
rust,second-14,1788410077864,60000,60000.00,101,112,149,171,211,264
rust,second-15,1788410078864,60000,60000.00,101,112,150,172,212,262
rust,second-16,1788410079864,60000,60000.00,101,112,149,169,211,285
rust,second-17,1788410080864,60000,60000.00,101,112,149,170,212,273
rust,second-18,1788410081864,60000,60000.00,101,112,149,171,216,392
rust,second-19,1788410082864,60000,60000.00,101,112,150,171,212,291
rust,second-20,1788410083864,60000,60000.00,101,112,149,169,207,288
rust,second-21,1788410084864,60000,60000.00,101,112,149,168,209,281
rust,second-22,1788410085864,60000,60000.00,101,112,149,170,212,276
rust,second-23,1788410086864,60000,60000.00,101,112,149,169,214,267
rust,second-24,1788410087864,60000,60000.00,101,112,150,173,313,422
rust,second-25,1788410088864,60000,60000.00,101,112,150,175,369,824
rust,second-26,1788410089864,60000,60000.00,102,112,151,175,218,268
rust,second-27,1788410090864,60000,60000.00,100,111,149,171,211,291
rust,second-28,1788410091864,60000,60000.00,101,112,149,171,210,272
rust,second-29,1788410092864,60000,60000.00,101,112,149,171,217,626
rust,overall,1788410063864,1800000,60000.00,101,112,149,171,214,824
