elapsed_s,timestamp_ms,cpu_percent,rss_mb
0.003,1788410053584,0.0,1.531
0.257,1788410053838,108.0,54.797
0.515,1788410054096,251.3,65.297
0.774,1788410054355,325.4,67.875
1.032,1788410054613,339.8,69.734
1.291,1788410054872,347.3,69.953
1.550,1788410055131,348.0,71.297
1.809,1788410055390,348.9,71.453
2.068,1788410055649,349.4,71.516
2.324,1788410055905,350.7,72.062
2.582,1788410056163,349.6,72.281
2.842,1788410056423,351.6,72.828
3.099,1788410056680,351.0,72.859
3.358,1788410056939,352.5,73.203
3.617,1788410057198,348.0,75.375
3.875,1788410057456,353.4,75.875
4.133,1788410057713,354.0,75.875
4.391,1788410057972,353.1,75.875
4.648,1788410058229,349.1,75.875
4.908,1788410058488,343.7,75.875
5.166,1788410058747,347.9,75.875
5.424,1788410059005,342.9,75.875
5.683,1788410059264,345.6,75.906
5.942,1788410059523,349.8,75.906
6.197,1788410059778,351.5,75.906
6.453,1788410060034,358.2,75.906
6.710,1788410060291,356.0,76.312
6.966,1788410060547,357.2,76.312
7.223,1788410060804,355.8,76.312
7.483,1788410061063,353.9,76.422
7.742,1788410061323,358.5,76.422
7.999,1788410061580,360.5,76.422
8.259,1788410061839,356.8,76.422
8.514,1788410062095,357.2,76.422
8.773,1788410062354,355.0,76.422
9.033,1788410062614,355.0,76.422
9.291,1788410062871,354.0,76.422
9.548,1788410063129,352.4,76.422
9.804,1788410063385,350.9,76.578
10.061,1788410063642,351.6,76.844
10.319,1788410063900,360.0,76.844
10.578,1788410064159,175.2,76.844
10.837,1788410064418,96.7,76.938
11.095,1788410064676,66.9,82.297
11.354,1788410064935,54.4,82.859
11.613,1788410065194,50.0,82.875
11.872,1788410065452,47.9,82.922
12.130,1788410065711,47.8,82.969
12.386,1788410065967,48.0,83.078
12.644,1788410066225,47.9,83.188
12.902,1788410066483,46.4,83.188
13.161,1788410066742,47.2,83.188
13.419,1788410067000,47.2,83.266
13.677,1788410067258,47.6,83.281
13.937,1788410067518,47.9,83.297
14.196,1788410067777,47.8,83.406
14.454,1788410068035,48.0,83.406
14.709,1788410068290,47.8,83.406
14.967,1788410068548,46.6,83.438
15.225,1788410068806,46.7,83.500
15.483,1788410069064,47.7,83.500
15.742,1788410069322,47.0,83.500
16.000,1788410069581,47.0,83.500
16.258,1788410069839,47.3,83.500
16.517,1788410070098,47.8,83.500
16.775,1788410070356,46.6,83.500
17.033,1788410070614,46.8,83.500
17.292,1788410070873,47.0,83.531
17.550,1788410071130,47.9,83.625
17.808,1788410071389,47.9,83.625
18.066,1788410071647,47.3,83.625
18.324,1788410071905,47.1,83.625
18.583,1788410072164,47.1,83.625
18.841,1788410072422,46.8,83.625
19.099,1788410072680,46.6,83.625
19.358,1788410072939,46.4,83.625
19.616,1788410073197,45.2,83.625
19.875,1788410073456,44.7,83.625
20.133,1788410073714,42.0,83.625
20.391,1788410073972,45.4,83.625
20.649,1788410074230,46.9,83.625
20.907,1788410074488,47.5,83.625
21.165,1788410074746,47.4,83.625
21.424,1788410075005,47.7,83.625
21.682,1788410075263,47.8,83.625
21.938,1788410075519,47.9,83.625
22.196,1788410075777,47.8,83.625
22.455,1788410076036,47.8,83.625
22.713,1788410076294,47.6,83.625
22.972,1788410076553,47.1,83.625
23.231,1788410076811,47.2,83.625
23.489,1788410077070,47.4,83.625
23.748,1788410077329,47.6,83.625
24.006,1788410077587,47.7,83.625
