implementation,scope,timestamp_ms,requests,throughput_rps,average_us,p50_us,p95_us,p99_us,p999_us,max_us
java,second-0,1788410107440,60000,60000.00,112,111,151,247,2212,2757
java,second-1,1788410108440,60000,60000.00,118,112,152,823,2534,3085
java,second-2,1788410109440,60000,60000.00,120,112,152,1006,2680,3260
java,second-3,1788410110440,60000,60000.00,112,112,151,240,2232,2718
java,second-4,1788410111440,60000,60000.00,119,112,152,948,2582,3125
java,second-5,1788410112440,60000,60000.00,117,111,151,617,2651,3193
java,second-6,1788410113440,60000,60000.00,122,112,152,1125,2827,3208
java,second-7,1788410114440,60000,60000.00,123,112,152,1172,2701,3111
java,second-8,1788410115440,60000,60000.00,117,112,151,502,2693,3412
java,second-9,1788410116440,60000,60000.00,10414,128,61154,72644,75334,77023
java,second-10,1788410117440,60000,60000.00,119,112,151,735,2665,3254
java,second-11,1788410118440,60000,60000.00,116,112,152,664,2361,2846
java,second-12,1788410119440,60000,60000.00,112,112,150,224,2263,3083
java,second-13,1788410120440,60000,60000.00,122,112,152,1142,2707,3525
java,second-14,1788410121440,60000,60000.00,113,112,150,258,2275,2789
java,second-15,1788410122440,60000,60000.00,125,113,153,1221,2995,3676
java,second-16,1788410123440,60000,60000.00,112,111,150,224,2219,2730
java,second-17,1788410124440,60000,60000.00,121,112,152,1079,2620,2996
java,second-18,1788410125440,60000,60000.00,120,112,153,949,2547,3287
java,second-19,1788410126440,60000,60000.00,118,112,153,637,2652,3330
java,second-20,1788410127440,60000,60000.00,120,112,153,871,2717,3361
java,second-21,1788410128440,60000,60000.00,122,113,154,1008,2860,3515
java,second-22,1788410129440,60000,60000.00,113,112,151,256,2314,2934
java,second-23,1788410130440,60000,60000.00,120,112,153,905,2560,3070
java,second-24,1788410131440,60000,60000.00,112,112,151,227,2284,2789
java,second-25,1788410132440,60000,60000.00,124,112,151,1183,2974,3485
java,second-26,1788410133440,60000,60000.00,120,112,152,793,3069,3812
java,second-27,1788410134440,60000,60000.00,119,112,153,872,2491,2984
java,second-28,1788410135440,60000,60000.00,113,112,151,240,2342,2755
java,second-29,1788410136440,60000,60000.00,119,112,152,878,2610,3496
java,overall,1788410107440,1800000,60000.00,461,113,155,2309,65043,77023
