elapsed_s,timestamp_ms,cpu_percent,rss_mb
0.007,1788410228172,1.3,1.547
0.262,1788410228428,152.6,55.484
0.518,1788410228684,269.9,65.359
0.772,1788410228938,322.2,67.797
1.031,1788410229197,343.4,68.047
1.289,1788410229455,353.4,68.188
1.547,1788410229712,354.0,69.078
1.805,1788410229971,349.7,71.625
2.063,1788410230229,355.2,71.672
2.322,1788410230487,351.4,72.141
2.580,1788410230746,354.5,72.156
2.837,1788410231003,349.7,72.156
3.096,1788410231262,352.5,72.172
3.355,1788410231521,349.7,72.359
3.614,1788410231779,352.4,72.359
3.873,1788410232038,357.0,72.422
4.131,1788410232297,358.6,72.422
4.389,1788410232555,357.8,72.422
4.648,1788410232814,357.0,72.688
4.906,1788410233072,350.6,74.328
5.163,1788410233329,353.6,74.328
5.422,1788410233588,350.1,74.375
5.681,1788410233847,348.6,74.375
5.939,1788410234105,347.8,74.375
6.198,1788410234363,349.6,75.969
6.456,1788410234622,340.7,76.047
6.715,1788410234880,349.5,76.203
6.970,1788410235135,345.5,76.203
7.228,1788410235394,346.9,76.203
7.485,1788410235650,344.6,76.203
7.741,1788410235907,347.0,76.203
7.998,1788410236163,342.8,76.203
8.256,1788410236422,347.8,76.203
8.514,1788410236680,355.3,76.203
8.771,1788410236937,350.9,76.203
9.031,1788410237196,350.5,76.203
9.290,1788410237455,333.5,76.203
9.548,1788410237713,342.4,76.203
9.806,1788410237972,359.0,76.203
10.064,1788410238230,352.7,76.203
10.321,1788410238487,341.5,76.203
10.579,1788410238745,146.1,76.672
10.837,1788410239003,82.0,78.828
11.096,1788410239261,57.6,83.344
11.354,1788410239519,48.0,84.125
11.612,1788410239777,43.3,84.312
11.870,1788410240035,41.6,84.344
12.128,1788410240293,41.6,84.422
12.386,1788410240551,41.6,84.500
12.644,1788410240809,41.6,84.625
12.902,1788410241067,41.6,84.859
13.160,1788410241326,41.6,85.172
13.418,1788410241583,41.6,85.250
13.676,1788410241841,41.5,85.250
13.934,1788410242099,48.2,85.250
14.191,1788410242357,43.8,85.250
14.449,1788410242615,42.5,85.250
14.708,1788410242874,47.7,85.250
14.966,1788410243131,48.1,85.250
15.224,1788410243389,44.0,85.250
15.482,1788410243647,47.0,85.250
15.739,1788410243905,46.4,85.250
15.997,1788410244163,45.0,85.250
16.255,1788410244421,47.3,85.250
16.513,1788410244679,46.4,85.250
16.768,1788410244934,46.0,85.250
17.026,1788410245192,43.0,85.250
17.284,1788410245449,41.7,85.250
17.542,1788410245707,41.6,85.359
17.799,1788410245965,41.5,85.359
18.057,1788410246223,41.6,85.359
18.316,1788410246482,41.7,85.359
18.575,1788410246741,47.9,85.359
18.833,1788410246998,42.2,85.359
19.091,1788410247256,42.5,85.359
19.349,1788410247514,41.8,85.359
19.606,1788410247772,43.0,85.359
19.864,1788410248030,41.8,85.359
20.122,1788410248288,41.6,85.359
20.380,1788410248546,41.5,85.359
20.638,1788410248804,41.7,85.359
20.896,1788410249061,41.6,85.359
21.154,1788410249320,41.6,85.359
21.412,1788410249578,45.1,85.359
21.670,1788410249836,43.5,85.359
21.929,1788410250095,42.0,85.359
22.187,1788410250353,47.9,85.359
22.446,1788410250611,44.5,85.359
22.704,1788410250869,45.1,85.359
22.962,1788410251128,48.0,85.359
23.220,1788410251386,48.7,85.359
23.479,1788410251644,46.6,85.359
23.737,1788410251902,47.1,85.359
23.995,1788410252161,43.2,85.359
24.253,1788410252419,43.2,85.359
24.512,1788410252677,42.3,85.359
24.770,1788410252936,47.6,85.375
25.028,1788410253194,48.0,85.375
25.286,1788410253452,44.3,85.453
25.544,1788410253710,41.0,85.500
25.802,1788410253968,41.5,85.500
26.060,1788410254226,41.5,85.500
26.318,1788410254484,41.6,85.500
26.576,1788410254742,42.1,85.500
26.831,1788410254996,42.9,85.500
27.088,1788410255254,42.0,85.500
27.347,1788410255512,41.6,85.500
27.605,1788410255770,43.1,85.500
27.863,1788410256029,42.2,85.500
28.121,1788410256287,42.3,85.500
28.379,1788410256545,41.8,85.500
28.638,1788410256803,41.6,85.500
28.895,1788410257061,41.6,85.500
29.154,1788410257319,41.8,85.500
29.412,1788410257577,41.6,85.500
29.670,1788410257835,41.6,85.500
29.928,1788410258094,44.0,85.500
30.187,1788410258352,41.8,85.500
30.445,1788410258611,44.0,85.500
30.703,1788410258869,43.0,85.500
30.961,1788410259127,42.9,85.500
31.220,1788410259385,41.8,85.500
31.478,1788410259643,41.7,85.500
31.736,1788410259902,41.7,85.500
31.995,1788410260161,44.0,85.500
32.254,1788410260420,45.6,85.500
32.512,1788410260678,44.8,85.500
32.771,1788410260936,46.4,85.500
33.029,1788410261195,45.1,85.500
33.287,1788410261453,44.5,85.500
33.545,1788410261711,43.1,85.500
33.804,1788410261970,46.3,85.500
34.062,1788410262228,44.8,85.500
34.320,1788410262486,44.8,85.500
34.579,1788410262745,45.7,85.500
34.838,1788410263004,46.8,85.500
35.096,1788410263262,46.7,85.500
35.354,1788410263520,45.4,85.500
35.612,1788410263778,44.1,85.500
35.870,1788410264036,41.7,85.500
36.128,1788410264294,42.4,85.500
36.386,1788410264552,48.2,85.500
36.644,1788410264810,48.0,85.500
36.905,1788410265070,48.0,85.500
37.163,1788410265329,45.1,85.500
37.421,1788410265587,41.9,85.500
37.677,1788410265843,44.3,85.500
37.936,1788410266101,47.9,85.500
38.194,1788410266360,51.6,85.500
38.452,1788410266618,50.5,85.609
38.706,1788410266872,48.3,85.891
38.963,1788410267129,49.6,85.891
39.222,1788410267387,50.3,85.891
39.481,1788410267647,53.0,85.891
39.741,1788410267906,55.9,85.891
39.996,1788410268162,57.0,85.891
40.254,1788410268420,51.7,85.891
