elapsed_s,timestamp_ms,cpu_percent,rss_mb
0.008,1788410271708,21.8,43.562
0.267,1788410271965,204.8,211.781
0.526,1788410272224,327.9,281.859
0.784,1788410272483,346.7,322.719
1.045,1788410272744,345.0,330.781
1.306,1788410273004,337.8,333.484
1.566,1788410273265,327.3,335.516
1.824,1788410273522,332.7,335.531
2.079,1788410273777,332.3,335.578
2.334,1788410274033,331.0,335.734
2.594,1788410274292,328.2,335.750
2.854,1788410274552,326.7,335.750
3.114,1788410274812,324.4,335.891
3.372,1788410275071,319.5,335.891
3.632,1788410275330,330.1,335.891
3.891,1788410275589,331.8,335.906
4.151,1788410275849,340.1,335.906
4.411,1788410276109,342.1,335.906
4.667,1788410276365,344.7,335.922
4.924,1788410276622,345.5,335.969
5.183,1788410276881,339.9,335.984
5.441,1788410277139,347.9,335.953
5.698,1788410277396,350.5,335.875
5.957,1788410277655,340.1,335.891
6.213,1788410277911,342.4,335.906
6.472,1788410278170,330.1,335.922
6.730,1788410278428,338.8,335.922
6.991,1788410278689,341.9,335.922
7.250,1788410278948,347.1,335.922
7.506,1788410279204,340.3,335.922
7.765,1788410279463,323.7,335.922
8.023,1788410279722,333.5,335.922
8.284,1788410279982,344.2,335.922
8.546,1788410280244,342.6,335.922
8.805,1788410280503,335.9,335.938
9.064,1788410280762,327.8,335.938
9.322,1788410281021,334.1,335.938
9.581,1788410281279,334.2,335.938
9.837,1788410281536,343.5,335.953
10.097,1788410281795,340.5,335.953
10.355,1788410282053,340.9,335.969
10.613,1788410282311,188.5,335.969
10.871,1788410282569,110.5,335.969
11.130,1788410282828,76.9,335.969
11.388,1788410283086,64.6,335.969
11.646,1788410283344,55.7,335.969
11.904,1788410283602,49.3,335.969
12.162,1788410283861,57.0,335.969
12.421,1788410284119,45.6,335.969
12.679,1788410284377,48.9,335.969
12.937,1788410284635,54.2,335.969
13.195,1788410284893,49.7,335.969
13.454,1788410285152,49.5,335.984
13.712,1788410285410,48.2,335.984
13.970,1788410285668,45.5,335.984
14.228,1788410285926,48.5,335.984
14.486,1788410286184,46.2,335.984
14.744,1788410286442,45.5,335.984
15.002,1788410286700,47.6,335.984
15.260,1788410286958,54.0,335.984
15.518,1788410287216,49.9,335.984
15.776,1788410287474,49.6,336.000
16.034,1788410287732,47.8,336.000
16.292,1788410287990,42.8,336.000
16.550,1788410288248,53.3,336.000
16.808,1788410288506,48.4,336.000
17.066,1788410288764,48.7,336.000
17.324,1788410289022,54.5,336.000
17.582,1788410289280,50.6,336.000
17.840,1788410289538,44.8,336.000
18.098,1788410289796,45.3,336.000
18.356,1788410290054,52.5,336.000
18.614,1788410290312,49.4,336.000
18.872,1788410290570,52.3,336.016
19.131,1788410290829,57.7,336.016
19.389,1788410291087,56.9,336.016
19.647,1788410291345,47.0,336.047
19.905,1788410291604,49.2,336.047
20.164,1788410291862,48.4,336.047
20.422,1788410292120,50.1,336.047
20.680,1788410292378,45.4,336.047
20.938,1788410292636,48.4,336.047
21.198,1788410292896,52.5,336.047
21.456,1788410293155,56.4,336.047
21.715,1788410293413,61.2,336.047
21.973,1788410293671,54.0,336.047
22.227,1788410293925,45.0,336.047
22.485,1788410294183,46.1,336.047
22.744,1788410294442,53.2,336.047
23.002,1788410294700,46.6,336.047
23.260,1788410294958,51.2,336.047
23.517,1788410295215,55.9,336.047
23.775,1788410295473,50.9,336.047
24.033,1788410295731,44.9,336.062
24.291,1788410295989,46.3,336.062
24.549,1788410296247,49.2,336.062
24.807,1788410296505,49.9,336.062
25.065,1788410296763,45.6,336.062
25.323,1788410297021,50.9,336.062
25.581,1788410297279,51.3,336.062
25.839,1788410297537,46.3,336.062
26.097,1788410297796,45.4,336.062
26.356,1788410298054,51.1,336.062
26.614,1788410298312,58.4,336.062
26.872,1788410298570,52.5,336.062
27.130,1788410298828,52.8,336.062
27.389,1788410299087,44.6,336.062
27.647,1788410299345,54.7,336.062
