implementation,scope,timestamp_ms,requests,throughput_rps,average_us,p50_us,p95_us,p99_us,p999_us,max_us
rust,second-0,1788410369609,60000,60000.00,100,111,148,169,208,290
rust,second-1,1788410370609,60000,60000.00,100,111,148,169,213,272
rust,second-2,1788410371609,60000,60000.00,99,110,147,164,200,278
rust,second-3,1788410372609,60000,60000.00,99,110,147,163,202,260
rust,second-4,1788410373609,60000,60000.00,100,111,148,164,204,257
rust,second-5,1788410374609,60000,60000.00,100,111,148,170,217,283
rust,second-6,1788410375609,60000,60000.00,100,111,148,165,203,274
rust,second-7,1788410376609,60000,60000.00,100,111,148,169,275,949
rust,second-8,1788410377609,60000,60000.00,101,112,149,170,213,265
rust,second-9,1788410378609,60000,60000.00,100,111,149,168,209,268
rust,second-10,1788410379609,60000,60000.00,101,112,150,176,238,666
rust,second-11,1788410380609,60000,60000.00,115,113,156,623,1981,2557
rust,second-12,1788410381609,60000,60000.00,100,111,148,166,203,256
rust,second-13,1788410382609,60000,60000.00,100,111,149,169,208,253
rust,second-14,1788410383609,60000,60000.00,100,111,148,165,202,254
rust,second-15,1788410384609,60000,60000.00,100,111,148,164,201,308
rust,second-16,1788410385609,60000,60000.00,100,112,148,166,202,257
rust,second-17,1788410386609,60000,60000.00,100,111,148,167,208,274
rust,second-18,1788410387609,60000,60000.00,100,111,148,165,198,255
rust,second-19,1788410388609,60000,60000.00,100,111,148,164,196,259
rust,second-20,1788410389609,60000,60000.00,101,112,150,172,214,290
rust,second-21,1788410390609,60000,60000.00,102,112,151,177,220,294
rust,second-22,1788410391609,60000,60000.00,105,113,156,210,928,1531
rust,second-23,1788410392609,60000,60000.00,102,112,155,190,244,324
rust,second-24,1788410393609,60000,60000.00,102,111,153,180,222,342
rust,second-25,1788410394609,60000,60000.00,103,113,157,189,237,447
rust,second-26,1788410395609,60000,60000.00,102,111,153,179,223,286
rust,second-27,1788410396609,60000,60000.00,102,111,154,186,242,408
rust,second-28,1788410397609,60000,60000.00,102,112,155,186,233,382
rust,second-29,1788410398609,60000,60000.00,103,112,156,189,247,541
rust,overall,1788410369609,1800000,60000.00,101,111,150,175,249,2557
