elapsed_s,timestamp_ms,cpu_percent,rss_mb
0.006,1788410359320,1.6,1.703
0.265,1788410359579,143.3,54.703
0.526,1788410359840,228.3,63.906
0.785,1788410360099,275.6,69.250
1.046,1788410360360,323.0,69.922
1.303,1788410360617,324.9,69.953
1.561,1788410360875,333.4,72.188
1.821,1788410361135,341.4,73.109
2.079,1788410361393,344.9,73.516
2.338,1788410361652,343.5,75.094
2.596,1788410361910,347.7,75.266
2.854,1788410362168,320.2,75.266
3.113,1788410362428,327.0,76.453
3.373,1788410362687,338.3,76.891
3.632,1788410362946,338.7,77.672
3.891,1788410363205,345.2,77.672
4.146,1788410363460,346.2,78.594
4.406,1788410363720,349.5,78.594
4.665,1788410363979,348.0,78.594
4.924,1788410364238,355.9,78.594
5.182,1788410364496,344.6,78.594
5.441,1788410364755,345.1,78.594
5.698,1788410365013,345.9,78.594
5.956,1788410365270,349.3,78.641
6.215,1788410365529,348.0,80.156
6.473,1788410365787,352.9,80.156
6.732,1788410366046,351.9,80.156
6.990,1788410366304,349.4,80.625
7.249,1788410366563,350.4,81.438
7.507,1788410366821,350.5,81.547
7.765,1788410367080,350.0,81.547
8.024,1788410367338,355.6,81.547
8.282,1788410367596,352.8,82.250
8.541,1788410367855,348.9,82.625
8.799,1788410368113,341.6,82.625
9.057,1788410368371,355.5,82.625
9.316,1788410368630,355.1,82.625
9.573,1788410368887,354.1,82.625
9.832,1788410369146,355.2,84.656
10.090,1788410369404,350.9,87.891
10.348,1788410369662,331.6,87.891
10.606,1788410369920,155.8,87.891
10.864,1788410370178,86.5,88.547
11.123,1788410370437,59.6,91.984
11.380,1788410370694,51.1,92.125
11.638,1788410370952,46.5,92.219
11.896,1788410371210,44.1,92.219
12.155,1788410371469,43.6,92.266
12.412,1788410371726,42.1,92.266
12.670,1788410371985,42.2,92.359
12.928,1788410372242,41.6,92.359
13.186,1788410372500,41.9,92.359
13.444,1788410372758,42.0,92.359
13.702,1788410373016,41.7,92.359
13.960,1788410373274,41.8,92.359
14.218,1788410373532,41.6,92.359
14.473,1788410373788,41.7,92.359
14.731,1788410374045,41.9,92.359
