implementation,scope,timestamp_ms,requests,throughput_rps,average_us,p50_us,p95_us,p99_us,p999_us,max_us
java,second-0,1788410325838,60000,60000.00,111,111,149,210,2253,2771
java,second-1,1788410326838,60000,60000.00,115,111,150,673,2294,2879
java,second-2,1788410327838,60000,60000.00,113,111,148,346,2299,2658
java,second-3,1788410328838,60000,60000.00,112,111,149,442,2173,2626
java,second-4,1788410329838,60000,60000.00,116,111,150,748,2350,2780
java,second-5,1788410330838,60000,60000.00,118,113,155,406,2876,3671
java,second-6,1788410331838,60000,60000.00,121,114,159,874,2545,3245
java,second-7,1788410332838,60000,60000.00,125,113,157,1308,2285,2828
java,second-8,1788410333838,60000,60000.00,118,111,150,867,2504,3207
java,second-9,1788410334838,60000,60000.00,111,111,149,195,2238,2677
java,second-10,1788410335838,60000,60000.00,115,111,149,698,2329,2873
java,second-11,1788410336838,60000,60000.00,111,111,149,192,2219,2620
java,second-12,1788410337838,60000,60000.00,115,111,150,624,2284,2636
java,second-13,1788410338838,60000,60000.00,112,111,149,210,2268,2859
java,second-14,1788410339838,60000,60000.00,116,112,150,681,2327,2924
java,second-15,1788410340838,60000,60000.00,375,115,655,10769,14846,15301
java,second-16,1788410341838,60000,60000.00,119,113,159,737,2371,2802
java,second-17,1788410342838,60000,60000.00,120,113,157,870,2427,2965
java,second-18,1788410343838,60000,60000.00,113,111,149,287,2350,2906
java,second-19,1788410344838,60000,60000.00,111,112,149,194,2172,2936
java,second-20,1788410345838,60000,60000.00,115,111,150,659,2316,3037
java,second-21,1788410346838,60000,60000.00,112,111,150,216,2313,2674
java,second-22,1788410347838,60000,60000.00,113,111,150,545,2171,2661
java,second-23,1788410348838,60000,60000.00,113,112,151,218,2298,2841
java,second-24,1788410349838,60000,60000.00,115,112,150,661,2238,2612
java,second-25,1788410350838,60000,60000.00,121,113,153,971,2529,3292
java,second-26,1788410351838,60000,60000.00,113,112,151,225,2249,2739
java,second-27,1788410352838,60000,60000.00,118,113,155,783,2341,2843
java,second-28,1788410353838,60000,60000.00,114,113,154,257,2305,2704
java,second-29,1788410354838,60000,60000.00,114,111,150,345,2379,2877
java,overall,1788410325838,1800000,60000.00,124,112,151,814,2744,15301
