elapsed_s,timestamp_ms,cpu_percent,rss_mb
0.004,1788410315542,19.8,43.016
0.258,1788410315797,284.9,215.250
0.521,1788410316059,317.1,306.328
0.778,1788410316316,346.0,329.984
1.037,1788410316575,351.2,334.562
1.291,1788410316830,349.4,335.094
1.550,1788410317089,344.9,336.266
1.808,1788410317346,343.2,336.359
2.066,1788410317604,345.7,336.375
2.326,1788410317864,351.4,336.375
2.585,1788410318124,352.0,336.375
2.842,1788410318380,353.8,336.422
3.101,1788410318639,345.1,336.438
3.359,1788410318898,353.8,336.453
3.618,1788410319156,347.4,336.453
3.877,1788410319415,349.9,336.469
4.132,1788410319671,353.5,336.469
4.391,1788410319930,352.9,336.469
4.651,1788410320189,337.2,336.469
4.908,1788410320446,338.0,336.469
5.165,1788410320704,338.8,336.531
5.424,1788410320962,338.7,336.516
5.683,1788410321222,347.4,336.516
5.942,1788410321480,353.8,336.516
6.200,1788410321738,355.6,336.516
6.458,1788410321996,349.8,336.516
6.716,1788410322255,349.1,336.531
6.975,1788410322513,350.6,336.531
7.233,1788410322771,362.1,336.531
7.492,1788410323030,358.6,336.531
7.751,1788410323289,359.3,336.547
8.010,1788410323548,355.8,336.547
8.266,1788410323805,354.1,336.547
8.525,1788410324063,349.0,336.547
8.783,1788410324321,350.6,336.547
9.041,1788410324580,352.2,336.547
9.300,1788410324839,353.3,336.547
9.559,1788410325097,348.2,336.547
9.817,1788410325356,351.5,336.547
10.074,1788410325613,354.7,336.562
10.332,1788410325871,354.6,336.562
10.590,1788410326129,153.5,336.562
10.848,1788410326387,90.0,336.562
11.103,1788410326641,60.5,336.562
11.361,1788410326900,60.6,336.562
11.621,1788410327159,47.9,336.594
11.879,1788410327417,45.6,336.594
12.137,1788410327675,45.2,336.594
12.395,1788410327933,48.7,336.594
12.653,1788410328191,46.2,336.594
12.911,1788410328449,48.0,336.609
13.169,1788410328708,48.5,336.609
13.427,1788410328966,54.4,336.609
13.685,1788410329223,50.0,336.609
13.943,1788410329481,49.2,336.625
14.201,1788410329739,44.3,336.625
14.459,1788410329997,45.1,336.625
14.717,1788410330255,49.8,336.625
14.975,1788410330513,49.5,336.625
15.229,1788410330768,44.4,336.625
15.487,1788410331026,45.4,336.625
15.745,1788410331284,48.3,336.625
16.005,1788410331543,51.9,336.625
16.263,1788410331801,53.5,336.625
16.522,1788410332060,55.0,336.625
16.780,1788410332319,62.7,336.625
17.039,1788410332578,56.2,336.625
17.297,1788410332836,56.3,336.641
17.556,1788410333094,59.1,336.641
17.814,1788410333352,47.9,336.641
18.074,1788410333612,46.9,336.641
18.332,1788410333870,50.4,336.641
18.590,1788410334128,50.4,336.641
18.848,1788410334386,46.6,336.641
19.107,1788410334645,45.4,336.641
19.365,1788410334903,50.4,336.641
19.623,1788410335161,49.6,336.641
19.881,1788410335419,48.7,336.641
20.139,1788410335677,50.1,336.641
20.397,1788410335935,46.8,336.641
20.655,1788410336194,45.7,336.641
20.913,1788410336452,45.3,336.641
21.171,1788410336710,45.2,336.641
21.429,1788410336968,53.0,336.641
21.688,1788410337226,48.1,336.641
21.946,1788410337484,48.6,336.641
22.204,1788410337742,48.6,336.641
22.462,1788410338000,51.9,336.641
22.720,1788410338258,46.7,336.641
22.978,1788410338516,48.5,336.641
23.236,1788410338774,54.9,336.641
23.494,1788410339032,46.1,336.641
23.752,1788410339291,45.8,336.641
24.010,1788410339549,45.4,336.641
24.268,1788410339807,48.5,336.641
24.526,1788410340065,47.4,336.641
24.784,1788410340322,48.4,336.656
25.042,1788410340580,49.5,336.656
25.301,1788410340840,52.0,336.656
25.559,1788410341097,55.7,336.656
25.817,1788410341356,51.5,336.656
26.076,1788410341614,50.5,336.656
26.331,1788410341869,49.3,336.656
26.585,1788410342123,50.9,336.656
26.845,1788410342383,45.0,336.656
27.100,1788410342638,51.9,336.656
27.358,1788410342896,56.0,336.656
27.616,1788410343154,58.6,336.656
27.874,1788410343413,52.2,336.656
28.132,1788410343671,53.7,336.656
28.390,1788410343928,58.1,336.656
28.648,1788410344186,52.2,336.656
28.906,1788410344444,45.0,336.656
29.164,1788410344703,45.4,336.656
29.422,1788410344961,49.4,336.656
29.680,1788410345219,47.1,336.656
29.939,1788410345477,48.1,336.656
30.197,1788410345735,54.8,336.656
30.455,1788410345993,51.5,336.656
30.713,1788410346252,44.8,336.656
30.971,1788410346510,56.3,336.656
31.230,1788410346768,51.3,336.656
31.488,1788410347027,44.8,336.656
31.747,1788410347285,45.5,336.656
32.005,1788410347543,46.0,336.656
32.263,1788410347801,51.5,336.656
32.522,1788410348060,46.9,336.656
32.780,1788410348318,49.8,336.656
33.038,1788410348577,49.6,336.656
33.297,1788410348835,54.6,336.656
