implementation,scope,timestamp_ms,requests,throughput_rps,average_us,p50_us,p95_us,p99_us,p999_us,max_us
java,second-0,1788410151245,60000,60000.00,147,113,159,2092,4423,4831
java,second-1,1788410152245,60000,60000.00,121,112,152,1029,2683,3208
java,second-2,1788410153245,60000,60000.00,122,112,152,1075,2893,3475
java,second-3,1788410154245,60000,60000.00,118,112,152,669,2777,3305
java,second-4,1788410155245,60000,60000.00,120,112,152,953,2613,3011
java,second-5,1788410156245,60000,60000.00,115,112,152,662,2249,2744
java,second-6,1788410157245,60000,60000.00,117,112,151,521,2748,3404
java,second-7,1788410158245,60000,60000.00,122,113,155,1020,2836,3584
java,second-8,1788410159245,60000,60000.00,123,112,152,1143,2800,3349
java,second-9,1788410160245,60000,60000.00,112,112,151,220,2208,2867
java,second-10,1788410161245,60000,60000.00,119,112,152,930,2641,3049
java,second-11,1788410162245,60000,60000.00,116,112,151,502,2680,3485
java,second-12,1788410163245,60000,60000.00,123,112,153,1102,3293,4157
java,second-13,1788410164245,60000,60000.00,115,112,152,671,2227,2779
java,second-14,1788410165245,60000,60000.00,110,111,150,213,2199,2709
java,second-15,1788410166245,60000,60000.00,4977,129,37424,45309,49664,51974
java,second-16,1788410167245,60000,60000.00,5929,240,42679,64164,70127,72962
java,second-17,1788410168245,60000,60000.00,2263,171,19489,46012,53177,55768
java,second-18,1788410169245,60000,60000.00,5902,135,45995,67496,71397,72785
java,second-19,1788410170245,60000,60000.00,533,114,256,16988,20076,22148
java,second-20,1788410171245,60000,60000.00,117,111,150,823,2432,3063
java,second-21,1788410172245,60000,60000.00,118,112,156,624,2811,3548
java,second-22,1788410173245,60000,60000.00,132,113,156,1484,4130,4908
java,second-23,1788410174245,60000,60000.00,116,112,152,436,2588,3150
java,second-24,1788410175245,60000,60000.00,116,111,150,772,2387,2942
java,second-25,1788410176245,60000,60000.00,110,111,149,191,2091,2677
java,second-26,1788410177245,60000,60000.00,115,111,150,698,2289,2757
java,second-27,1788410178245,60000,60000.00,111,111,149,199,2274,2713
java,second-28,1788410179245,60000,60000.00,114,111,149,625,2189,2787
java,second-29,1788410180245,60000,60000.00,111,111,149,205,2162,2656
java,overall,1788410151245,1800000,60000.00,752,116,265,27037,63451,72962
