elapsed_s,timestamp_ms,cpu_percent,rss_mb
0.005,1788410140930,9.3,42.797
0.264,1788410141189,268.6,211.359
0.520,1788410141446,341.9,302.328
0.781,1788410141707,325.6,324.484
1.040,1788410141966,352.9,328.328
1.300,1788410142226,356.1,331.234
1.560,1788410142486,359.1,332.609
1.819,1788410142744,365.5,332.609
2.077,1788410143003,359.9,332.984
2.336,1788410143261,357.8,333.000
2.592,1788410143517,352.2,333.000
2.851,1788410143777,351.3,333.000
3.110,1788410144036,357.0,333.000
3.369,1788410144295,359.5,333.000
3.626,1788410144552,355.7,333.000
3.886,1788410144812,356.6,333.000
4.145,1788410145071,354.5,333.000
4.401,1788410145327,353.3,333.000
4.660,1788410145585,361.8,333.016
4.918,1788410145844,358.2,333.047
5.176,1788410146101,356.7,333.047
5.435,1788410146361,358.8,333.062
5.693,1788410146619,359.5,333.062
5.952,1788410146878,353.4,333.062
6.210,1788410147136,354.9,333.078
6.468,1788410147394,354.0,333.109
6.729,1788410147655,354.9,333.109
6.985,1788410147911,363.3,333.125
7.243,1788410148169,366.8,333.125
7.500,1788410148425,362.1,333.125
7.756,1788410148682,355.5,333.141
8.016,1788410148942,355.9,333.141
8.277,1788410149202,350.2,333.141
8.535,1788410149460,349.0,333.141
8.794,1788410149720,350.9,333.156
9.052,1788410149978,355.2,333.156
9.310,1788410150235,346.5,333.156
9.569,1788410150495,352.9,333.156
9.827,1788410150753,353.4,333.156
10.085,1788410151011,360.6,333.188
10.343,1788410151269,354.9,333.203
10.601,1788410151527,180.0,333.203
10.869,1788410151795,100.7,333.203
11.127,1788410152053,66.1,333.203
11.386,1788410152311,55.0,333.203
11.643,1788410152569,56.5,333.203
11.901,1788410152827,49.7,333.203
12.159,1788410153085,49.4,333.203
12.418,1788410153344,48.3,333.203
12.676,1788410153602,59.9,333.203
12.934,1788410153860,51.0,333.203
13.192,1788410154118,47.4,333.203
13.450,1788410154376,47.7,333.203
13.705,1788410154630,56.6,333.203
13.963,1788410154888,52.0,333.203
14.221,1788410155146,53.1,333.203
14.479,1788410155405,53.0,333.203
14.737,1788410155663,60.9,333.203
14.995,1788410155921,55.7,333.203
15.253,1788410156179,53.3,333.203
15.511,1788410156437,46.7,333.203
15.769,1788410156695,45.4,333.203
16.027,1788410156953,51.5,333.203
16.285,1788410157211,49.2,333.219
16.543,1788410157469,48.4,333.219
16.801,1788410157727,50.9,333.219
17.059,1788410157985,60.5,333.219
17.317,1788410158243,49.7,333.219
17.575,1788410158501,47.9,333.219
17.834,1788410158760,53.3,333.219
18.093,1788410159018,57.3,333.219
18.351,1788410159276,51.5,333.219
18.609,1788410159535,52.0,333.234
18.868,1788410159793,52.9,333.234
19.126,1788410160051,59.3,333.234
19.384,1788410160309,54.5,333.250
19.642,1788410160568,51.8,333.266
19.900,1788410160826,46.8,333.266
20.159,1788410161084,46.7,333.266
20.417,1788410161343,51.3,333.266
20.675,1788410161601,48.1,333.266
20.934,1788410161859,48.7,333.266
21.192,1788410162118,47.1,333.266
21.451,1788410162376,51.9,333.266
21.709,1788410162634,49.3,333.266
21.965,1788410162891,49.7,333.266
22.224,1788410163150,51.1,333.266
22.482,1788410163408,59.4,333.266
22.743,1788410163668,50.9,333.266
23.002,1788410163928,57.5,333.266
23.260,1788410164186,46.8,333.266
23.518,1788410164444,46.6,333.266
23.776,1788410164702,50.5,333.266
24.034,1788410164960,48.9,333.266
24.292,1788410165218,49.1,333.266
24.551,1788410165477,47.7,333.266
24.809,1788410165735,51.8,333.266
25.067,1788410165993,45.8,333.266
25.325,1788410166251,46.3,333.266
25.583,1788410166509,48.0,333.266
25.842,1788410166768,53.9,333.266
26.146,1788410167072,63.1,287.391
26.412,1788410167338,87.4,288.688
26.667,1788410167593,96.8,291.188
26.987,1788410167913,92.9,291.234
27.353,1788410168279,81.2,291.281
27.617,1788410168543,90.3,291.359
27.880,1788410168805,69.3,291.359
28.143,1788410169068,62.5,292.250
28.406,1788410169331,60.0,292.328
28.737,1788410169663,61.3,287.141
28.996,1788410169922,89.3,259.047
29.255,1788410170181,77.9,268.891
29.513,1788410170438,63.0,277.594
29.771,1788410170697,62.2,282.859
30.030,1788410170955,55.4,283.016
30.313,1788410171239,47.1,288.656
30.571,1788410171496,54.3,290.969
30.829,1788410171755,54.9,292.062
31.087,1788410172013,51.4,292.172
31.346,1788410172272,49.3,292.078
31.605,1788410172530,44.5,292.453
31.865,1788410172791,45.0,292.500
32.123,1788410173049,49.5,292.562
32.385,1788410173311,57.2,292.453
32.643,1788410173569,58.7,292.484
32.902,1788410173828,55.2,292.516
33.159,1788410174084,61.4,292.641
33.417,1788410174342,57.5,292.641
33.670,1788410174596,55.5,292.641
33.929,1788410174854,47.3,292.641
34.187,1788410175113,55.7,292.641
34.446,1788410175371,52.6,292.641
34.704,1788410175629,44.5,292.641
34.962,1788410175887,48.4,292.641
35.220,1788410176146,46.3,292.734
35.478,1788410176404,45.6,292.750
35.736,1788410176662,47.9,292.750
35.994,1788410176920,54.6,292.766
36.252,1788410177178,50.4,292.781
36.510,1788410177436,49.7,292.797
36.769,1788410177694,44.5,292.797
37.027,1788410177952,45.1,292.797
37.284,1788410178210,48.8,292.797
37.538,1788410178464,46.4,292.812
37.796,1788410178722,45.4,292.812
38.054,1788410178980,53.9,292.812
38.312,1788410179238,46.4,292.812
38.570,1788410179496,45.4,292.828
38.828,1788410179754,53.9,292.859
39.086,1788410180012,50.2,292.859
39.344,1788410180270,49.4,292.859
39.602,1788410180528,44.3,292.859
39.861,1788410180786,45.1,292.859
40.116,1788410181042,48.7,292.859
