implementation,scope,timestamp_ms,requests,throughput_rps,average_us,p50_us,p95_us,p99_us,p999_us,max_us
rust,second-0,1788410195017,60000,60000.00,99,110,147,161,187,255
rust,second-1,1788410196017,60000,60000.00,99,110,147,161,178,239
rust,second-2,1788410197017,60000,60000.00,99,110,147,160,180,255
rust,second-3,1788410198017,60000,60000.00,99,110,147,161,181,231
rust,second-4,1788410199017,60000,60000.00,99,110,147,161,185,243
rust,second-5,1788410200017,60000,60000.00,100,111,148,162,185,238
rust,second-6,1788410201017,60000,60000.00,99,110,148,161,183,264
rust,second-7,1788410202017,60000,60000.00,100,111,148,167,261,444
rust,second-8,1788410203017,60000,60000.00,99,110,148,161,183,233
rust,second-9,1788410204017,60000,60000.00,99,111,148,162,185,230
rust,second-10,1788410205017,60000,60000.00,99,111,147,161,186,233
rust,second-11,1788410206017,60000,60000.00,100,111,148,164,188,242
rust,second-12,1788410207017,60000,60000.00,100,111,148,165,197,274
rust,second-13,1788410208017,60000,60000.00,100,111,148,165,193,238
rust,second-14,1788410209017,60000,60000.00,105,113,155,192,619,3948
rust,second-15,1788410210017,60000,60000.00,100,111,149,170,207,265
rust,second-16,1788410211017,60000,60000.00,100,111,148,163,191,268
rust,second-17,1788410212017,60000,60000.00,100,111,149,165,199,287
rust,second-18,1788410213017,60000,60000.00,100,111,148,164,195,360
rust,second-19,1788410214017,60000,60000.00,103,113,154,182,222,318
rust,second-20,1788410215017,60000,60000.00,101,112,149,167,209,267
rust,second-21,1788410216017,60000,60000.00,100,111,148,161,181,217
rust,second-22,1788410217017,60000,60000.00,100,111,148,165,192,249
rust,second-23,1788410218017,60000,60000.00,100,111,148,165,196,231
rust,second-24,1788410219017,60000,60000.00,102,113,151,176,213,286
rust,second-25,1788410220017,60000,60000.00,102,113,153,179,217,289
rust,second-26,1788410221017,60000,60000.00,103,112,154,180,216,266
rust,second-27,1788410222017,60000,60000.00,103,112,154,181,217,268
rust,second-28,1788410223017,60000,60000.00,103,113,153,181,220,281
rust,second-29,1788410224017,60000,60000.00,125,114,158,1148,2615,3114
rust,overall,1788410195017,1800000,60000.00,101,111,149,169,234,3948
