elapsed_s,timestamp_ms,cpu_percent,rss_mb
0.004,1788410402756,0.0,1.578
0.265,1788410403015,188.8,55.250
0.520,1788410403271,292.6,64.234
0.776,1788410403526,326.9,66.047
1.035,1788410403786,340.1,66.375
1.294,1788410404045,347.4,68.016
1.550,1788410404301,353.1,69.312
1.809,1788410404560,349.0,70.375
2.068,1788410404819,350.0,73.891
2.322,1788410405073,349.8,74.391
2.578,1788410405329,353.6,74.391
2.832,1788410405583,351.0,74.391
3.092,1788410405843,353.7,74.406
3.351,1788410406101,347.6,74.719
3.610,1788410406361,352.6,75.250
3.869,1788410406620,350.6,75.266
4.124,1788410406875,343.5,75.281
4.384,1788410407134,353.0,75.281
4.643,1788410407393,352.6,75.281
4.901,1788410407652,362.5,75.281
5.156,1788410407907,355.5,75.281
5.410,1788410408161,350.8,75.281
5.669,1788410408419,350.6,75.328
5.925,1788410408676,349.3,75.328
6.184,1788410408935,349.0,75.328
6.443,1788410409194,354.5,75.453
6.702,1788410409452,354.5,75.453
6.959,1788410409709,353.5,75.453
7.218,1788410409969,349.6,75.453
7.477,1788410410227,347.7,75.578
7.736,1788410410487,348.3,75.578
7.993,1788410410744,349.2,75.844
8.252,1788410411002,352.8,75.844
8.511,1788410411261,356.7,75.844
8.770,1788410411520,352.3,76.328
9.029,1788410411779,361.4,76.328
9.286,1788410412036,352.7,76.328
9.544,1788410412295,342.8,76.328
9.803,1788410412553,344.1,76.328
10.062,1788410412813,348.0,76.328
10.317,1788410413067,349.3,76.328
10.575,1788410413326,185.1,76.328
10.833,1788410413584,99.9,77.547
11.092,1788410413842,69.2,81.578
11.350,1788410414101,57.7,82.594
11.608,1788410414359,51.0,82.625
11.867,1788410414617,48.2,82.859
12.123,1788410414874,48.0,83.141
12.382,1788410415132,48.5,83.281
12.640,1788410415391,47.8,83.328
12.896,1788410415646,47.9,83.359
13.154,1788410415904,49.2,83.359
13.412,1788410416163,50.3,83.359
13.670,1788410416421,49.4,83.359
13.928,1788410416678,50.2,83.359
14.186,1788410416937,50.5,83.359
14.444,1788410417195,48.0,83.359
14.702,1788410417453,47.7,83.375
14.957,1788410417707,47.9,83.547
15.215,1788410417966,48.0,83.547
15.473,1788410418224,48.0,83.547
15.731,1788410418482,48.6,83.547
15.989,1788410418740,49.1,83.547
16.247,1788410418998,48.1,83.547
16.503,1788410419253,47.5,83.547
16.761,1788410419512,48.9,83.547
17.016,1788410419766,50.8,83.547
17.274,1788410420025,50.2,83.547
17.532,1788410420283,47.6,83.547
17.790,1788410420541,44.7,83.625
18.049,1788410420800,48.4,83.625
18.307,1788410421058,49.8,83.625
18.565,1788410421316,49.3,83.625
18.823,1788410421574,48.4,83.625
19.081,1788410421832,49.6,83.625
19.339,1788410422090,50.0,83.625
19.597,1788410422348,48.0,83.625
19.855,1788410422606,47.1,83.625
20.113,1788410422864,48.0,83.625
20.371,1788410423122,47.2,83.625
20.629,1788410423380,47.8,83.625
20.886,1788410423637,48.9,83.625
21.144,1788410423895,48.6,83.625
21.402,1788410424153,47.4,83.625
21.660,1788410424411,45.1,83.625
21.918,1788410424669,43.7,83.625
22.176,1788410424927,46.4,83.625
22.434,1788410425185,44.6,83.625
22.693,1788410425443,44.0,83.625
22.951,1788410425701,45.8,83.625
23.209,1788410425959,44.9,83.656
