implementation,scope,timestamp_ms,requests,throughput_rps,average_us,p50_us,p95_us,p99_us,p999_us,max_us
java,second-0,1788410456615,60000,60000.00,117,112,164,350,2389,2883
java,second-1,1788410457615,60000,60000.00,122,113,158,988,2890,3630
java,second-2,1788410458615,60000,60000.00,120,115,168,344,2509,3167
java,second-3,1788410459615,60000,60000.00,120,113,159,814,2457,3026
java,second-4,1788410460615,60000,60000.00,112,112,150,233,2299,2918
java,second-5,1788410461615,60000,60000.00,112,111,150,242,2312,2929
java,second-6,1788410462615,60000,60000.00,119,112,151,963,2505,2873
java,second-7,1788410463615,60000,60000.00,112,111,150,257,2267,2699
java,second-8,1788410464615,60000,60000.00,115,111,150,661,2286,2730
java,second-9,1788410465615,60000,60000.00,113,112,150,299,2332,2758
java,second-10,1788410466615,60000,60000.00,117,112,151,752,2423,2876
java,second-11,1788410467615,60000,60000.00,114,112,153,267,2366,3306
java,second-12,1788410468615,60000,60000.00,115,112,150,666,2320,2888
java,second-13,1788410469615,60000,60000.00,114,113,153,302,2283,2639
java,second-14,1788410470615,60000,60000.00,157,116,203,2095,2983,3605
java,second-15,1788410471615,60000,60000.00,120,115,166,386,2599,3798
java,second-16,1788410472615,60000,60000.00,120,113,158,748,2400,3252
java,second-17,1788410473615,60000,60000.00,117,113,156,459,2523,3105
java,second-18,1788410474615,60000,60000.00,124,114,160,852,2953,3590
java,second-19,1788410475615,60000,60000.00,124,115,164,996,2532,3346
java,second-20,1788410476615,60000,60000.00,122,115,164,612,2770,3444
java,second-21,1788410477615,60000,60000.00,133,116,173,1364,3547,4217
java,second-22,1788410478615,60000,60000.00,132,117,175,1140,3411,4111
java,second-23,1788410479615,60000,60000.00,137,116,173,1690,3134,3653
java,second-24,1788410480615,60000,60000.00,123,115,165,729,2936,3721
java,second-25,1788410481615,60000,60000.00,117,114,160,301,2374,2866
java,second-26,1788410482615,60000,60000.00,128,115,164,1245,2867,3460
java,second-27,1788410483615,60000,60000.00,116,111,150,444,2731,3406
java,second-28,1788410484615,60000,60000.00,117,111,150,772,2453,3065
java,second-29,1788410485615,60000,60000.00,120,112,152,948,2767,3468
java,overall,1788410456615,1800000,60000.00,121,113,159,824,2665,4217
