implementation,scope,timestamp_ms,requests,throughput_rps,average_us,p50_us,p95_us,p99_us,p999_us,max_us
rust,second-0,1788410413040,60000,60000.00,102,112,153,181,222,296
rust,second-1,1788410414040,60000,60000.00,102,111,152,183,452,864
rust,second-2,1788410415040,60000,60000.00,102,111,154,182,222,285
rust,second-3,1788410416040,60000,60000.00,102,112,155,185,231,405
rust,second-4,1788410417040,60000,60000.00,101,110,151,177,222,310
rust,second-5,1788410418040,60000,60000.00,101,111,152,179,220,293
rust,second-6,1788410419040,60000,60000.00,102,112,154,185,227,340
rust,second-7,1788410420040,60000,60000.00,102,112,152,180,223,286
rust,second-8,1788410421040,60000,60000.00,102,111,154,181,220,304
rust,second-9,1788410422040,60000,60000.00,101,112,150,173,213,282
rust,second-10,1788410423040,60000,60000.00,102,112,152,178,220,289
rust,second-11,1788410424040,60000,60000.00,100,111,149,169,208,283
rust,second-12,1788410425040,60000,60000.00,100,111,148,166,205,295
rust,second-13,1788410426040,60000,60000.00,100,112,149,168,206,251
rust,second-14,1788410427040,60000,60000.00,101,111,149,170,209,280
rust,second-15,1788410428040,60000,60000.00,286,114,168,8395,13453,15142
rust,second-16,1788410429040,60000,60000.00,100,111,148,165,201,304
rust,second-17,1788410430040,60000,60000.00,101,112,149,170,208,270
rust,second-18,1788410431040,60000,60000.00,101,112,150,173,415,863
rust,second-19,1788410432040,60000,60000.00,109,113,152,282,1416,2262
rust,second-20,1788410433040,60000,60000.00,100,111,148,166,200,264
rust,second-21,1788410434040,60000,60000.00,101,112,150,171,215,258
rust,second-22,1788410435040,60000,60000.00,100,111,148,165,208,268
rust,second-23,1788410436040,60000,60000.00,109,112,150,184,2825,3342
rust,second-24,1788410437040,60000,60000.00,101,112,149,170,208,262
rust,second-25,1788410438040,60000,60000.00,102,113,153,185,229,305
rust,second-26,1788410439040,60000,60000.00,101,112,150,176,221,378
rust,second-27,1788410440040,60000,60000.00,147,114,157,1947,5782,6509
rust,second-28,1788410441040,60000,60000.00,102,112,151,177,228,321
rust,second-29,1788410442040,60000,60000.00,103,112,154,189,495,1004
rust,overall,1788410413040,1800000,60000.00,109,112,151,180,2861,15142
